(-560.8480312119302,-606.2454634371776,-679.1585913270193)
(-778.501241858705,-667.5660876612266,-606.1118336457387)
(-586.3507609795136,-667.7257898162643,-622.0056290345708)
(-561.2158278493763,-588.8356212723097,-564.2453682785246)
(-538.7522097958345,-619.0602589388257,-656.2507602385705)
(-799.8861705973625,-535.9253616177482,-639.9748766293801)
(-525.2375078276494,-507.90224587389565,-518.5607371834167)
(-522.4476485226613,-597.6764538942257,-560.6272900560947)
(-696.0032920118749,-609.8895866280914,-692.4630589216204)
(-679.3635240849317,-573.282849696734,-763.4649677980887)
(-765.4220645703887,-762.2708569288676,-699.1123440223714)
(-600.3578788537127,-608.0816409251088,-577.3367210562452)
(-793.9742477369986,-798.9915893981686,-681.8063555810086)
(-502.7307477504632,-684.7420486529029,-747.2690991173472)
(-616.2227714183982,-693.9782360100844,-691.4214890133042)
(-591.8610321453373,-615.962258224957,-537.4225492191742)
(-729.890073415357,-786.9315271457001,-589.4925763626135)
(-758.388970104292,-750.9636175744325,-668.4630114922329)
(-510.2132703183482,-512.3110809710682,-559.7250741627399)
(-691.5178384551035,-752.0493348404204,-665.835818280881)
(-695.8135595882942,-596.357446718031,-550.4935745622738)
(-512.5841941280949,-563.2903322447005,-672.3291882067322)
(-511.41998589214825,-755.8123736952108,-792.7739285573975)
(-748.8263497314417,-726.0189890816083,-562.6911666035788)
(-543.7677990676325,-596.4287500005643,-679.8897426419135)
(-718.3020515384668,-798.4916988715405,-786.5392073363533)
(-535.6657232378184,-608.7338991931454,-631.0720175422368)
(-581.4454835309643,-637.5467572993424,-518.8569537939132)
(-637.6462322177427,-769.7578241380236,-521.763986447451)
(-748.4492802168149,-636.7934556192723,-571.5989306455886)
(-751.3139265383836,-678.3557597099508,-550.7153229269061)
(-573.7562579953159,-659.2634788023227,-502.2708982353557)
(-634.7608350102817,-510.2457580373985,-555.5498632645774)
(-663.5539122928047,-766.2136598960025,-680.3816882166362)
(-719.4778446389381,-628.2085262997197,-691.7419212345885)
(-556.4989107154695,-766.0510284801608,-647.7893833741514)
(-677.5483422048702,-765.9320333061281,-775.8650086947044)
(-742.5334971081148,-588.0523157626044,-718.7200967121026)
(-679.537073763335,-763.4572719624437,-718.8858794822703)
(-503.7759913785089,-542.5505495133491,-584.5083635691311)
(-592.0918611987752,-697.9364070233881,-674.9514749522937)
(-564.1165964035698,-790.6752940907727,-646.3914470293521)
(-646.5510453311715,-728.6491044920602,-690.0780465612772)
(-659.4818692110575,-621.1593805700929,-741.3424749110686)
(-671.7218029673193,-582.7478620861091,-786.904491413446)
(-566.258102823557,-680.4961104830147,-586.4146517815507)
(-767.8748290958412,-694.6869948429971,-603.955658317733)
(-751.2085071454526,-722.1647753102521,-572.2162608547912)
(-777.0352182524078,-577.5107957404598,-558.8992563905668)
(-727.3621011768162,-759.2905826752692,-572.3783585005316)
(-683.9672666742978,-549.2724642241722,-794.0303815581185)
(-789.8851882105552,-599.003413967386,-522.5077444108498)
(-615.2164955908327,-730.5733591953441,-729.6225504367611)
(-716.3187079021535,-697.6794946284799,-548.5405498085453)
(-672.0346617410778,-729.1585403733596,-686.0208627619453)
(-617.8368398494109,-564.9453042906274,-771.3891650426307)
(-746.5552202337583,-555.3952910153604,-686.0817180753894)
(-658.2723180589292,-609.7833760067056,-516.6789517028851)
(-695.7753782379523,-656.3714829270318,-566.1810613707156)
(-693.5909089875531,-582.7788552681351,-562.4337210919782)
(-672.5383639492574,-680.9648117331645,-608.8981773980909)
(-695.6685401034196,-613.6912696718259,-798.1298357376942)
(-555.0815987874538,-752.0962456202755,-620.2495593972359)
(-761.6271788772896,-671.3211719223451,-799.2990581051612)
(-742.8440756160953,-626.1443935372907,-750.0959651814861)
(-789.4759002877787,-597.4916967925868,-557.1294079933882)
(-608.1138245685751,-738.1751793266853,-670.9077913362785)
(-567.3477350542521,-754.7932457371892,-730.4598866837376)
(-604.9834877459002,-601.8545651994358,-799.2677798307392)
(-733.545491322104,-795.1892956043981,-673.467493137863)
(-582.6923730382767,-629.1434346797462,-773.3665037287461)
(-731.8463108760031,-601.2844291867453,-630.8416024210475)
(-536.2244673844284,-593.7129219711726,-618.8419376465397)
(-723.8582378338742,-788.874520617323,-672.5775074861409)
(-681.4468456170574,-637.4166442244813,-578.9000530290871)
(-536.5763681176629,-596.6838363634423,-761.8056076795003)
(-618.7878118351589,-638.6722364693999,-729.9831640861391)
(-548.9139774095697,-657.0265268264272,-612.5198019444646)
(-595.6305903358459,-731.6577809393578,-722.8169871149234)
(-757.7570053729683,-584.5783855451152,-593.2543717033462)
(-598.1314856662646,-621.347143245972,-694.4384236212087)
(-713.7405140764814,-758.810781201319,-746.8669831898571)
(-766.9416789200066,-667.4798763057183,-609.493090749933)
(-778.3133187284203,-624.7080402285529,-771.6603658067113)
(-799.4325209507997,-597.0829581858932,-748.3861876043264)
(-647.9428053344949,-598.683063697553,-509.2706537435864)
(-694.0952236664023,-538.4899022320053,-629.6996016352098)
(-555.324929700329,-661.6283725936476,-791.5779988798745)
(-639.1388368575243,-742.4035025163205,-689.063190330809)
(-766.8740848726287,-693.5306363011034,-710.4779635978443)
(-739.2639633849104,-573.2466438944953,-729.5343406674683)
(-697.3518195016316,-568.2588319032922,-665.6711497723505)
(-707.6947671602145,-715.2761805300032,-757.6274663523088)
(-508.39002714022604,-611.968945445559,-728.7745382447349)
(-702.8448337848965,-617.9912490933355,-557.8076268726754)
(-698.6206871295497,-792.9923306829311,-671.4814309029226)
(-638.2441139763457,-580.6534447857176,-541.3696242905826)
(-664.7461656025821,-541.2685924113774,-760.2571165727583)
(-635.3188218315537,-609.014430082424,-711.7473112304135)
(-571.8884097545065,-781.0073577193433,-611.0733157735078)
(-238.2837235769611,-150.98871115802334,-112.00651322126095)
(-386.0159595373869,-136.7126941661313,-200.98465951462572)
(-197.24979468759614,-261.24740314217314,-110.36903107955237)
(-265.850571009153,-216.35858649587408,-147.3223367773574)
(-343.87804998250726,-352.88303292719934,-145.3821781382312)
(-115.9429220476805,-254.97854868250326,-225.92098150203915)
(-347.71486218948013,-256.1066111093993,-398.80761492985624)
(-238.23379047978324,-342.32520232384405,-370.9608622576239)
(-185.15174071035148,-307.6954992162598,-297.46058849522245)
(-356.3954399257437,-187.40025764136695,-399.66495131188975)
(-206.67494372100558,-114.78287921210648,-192.3248241192674)
(-351.19969787166735,-344.36814836506846,-169.56381200213747)
(-138.35251429023742,-373.84582512934935,-279.02297815433855)
(-394.56614449606417,-318.7004540064277,-264.26618499208735)
(-250.97850989986793,-303.04590983002214,-348.59610879294814)
(-182.3965340937625,-290.8885508595326,-122.44226379821077)
(-256.8204029942287,-287.651837538377,-160.9796448654023)
(-268.7504063472608,-298.97937184846387,-288.9443899465864)
(-133.84493242739848,-221.233501471301,-231.2356454944759)
(-206.92095858963464,-144.7888494521955,-203.91837002119453)
(-373.71218089531277,-366.877741008497,-139.67193651655037)
(-338.94950514007485,-151.4185418924486,-210.27011395830542)
(-148.79597602559616,-154.41220953988505,-342.34394393479346)
(-137.59827238292343,-296.61669886096195,-193.67798110532132)
(-230.31144231930782,-335.7204911645596,-234.97469934040836)
(-273.67386102573244,-353.29406885664514,-381.3223717766702)
(-344.09463776689654,-193.73247611912316,-208.15647856762482)
(-160.35352851707012,-324.81875690714975,-132.8404685817125)
(-345.2045860174652,-353.7324395635159,-221.41272904131003)
(-388.1705492004516,-226.50084822443407,-309.51558321069)
(-380.81024020201755,-345.7559058864564,-285.63431892601517)
(-325.0288913948435,-271.3471247046829,-316.0457006999144)
(-342.5222905171558,-113.16744633669032,-388.8769944769927)
(-368.866400787036,-282.8642641025273,-242.18362282473362)
(-225.657018974851,-155.00624649071094,-383.06921611516765)
(-312.8044803992308,-327.5460679710232,-314.2385148135626)
(-139.83358610477188,-390.4457666793501,-110.86696686495372)
(-206.10448890053306,-268.06000548131215,-212.62316272876603)
(-234.75032397180627,-187.1877863466566,-236.475886560273)
(-287.4004346677227,-157.89959675337175,-161.92941013276592)
